feature,mean_abs_shap
cat__NAME_INCOME_TYPE_Working,0.14672972
num__REG_CITY_NOT_WORK_CITY,0.074321344
cat__NAME_EDUCATION_TYPE_Higher education,0.073484235
cat__CODE_GENDER_M,0.06638361
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.06135088
cat__CODE_GENDER_F,0.057181306
cat__FLAG_OWN_CAR_Y,0.052216627
cat__FLAG_OWN_CAR_N,0.04453832
cat__OCCUPATION_TYPE_Laborers,0.04049964
num__FLAG_DOCUMENT_3,0.035328053
cat__NAME_TYPE_SUITE_Unaccompanied,0.034292143
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.031123593
num__REGION_RATING_CLIENT,0.0243167
cat__OCCUPATION_TYPE_Sales staff,0.024207465
num__REGION_RATING_CLIENT_W_CITY,0.018518876
num__CNT_FAM_MEMBERS,0.016329164
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.015971223
cat__ORGANIZATION_TYPE_Self-employed,0.015665859
num__EXT_SOURCE_3,0.01383534
num__FLOORSMAX_MODE,0.012455743
cat__NAME_HOUSING_TYPE_House / apartment,0.011098787
cat__OCCUPATION_TYPE_Core staff,0.007809497
num__EXT_SOURCE_2,0.0071604997
cat__OCCUPATION_TYPE_Drivers,0.006567614
cat__NAME_INCOME_TYPE_State servant,0.005623641
num__FLOORSMAX_MEDI,0.0055497116
num__FLAG_EMP_PHONE,0.00459248
cat__NAME_INCOME_TYPE_Commercial associate,0.004129101
num__HOUR_APPR_PROCESS_START,0.0038267905
cat__NAME_TYPE_SUITE_Family,0.0029276789
cat__ORGANIZATION_TYPE_Construction,0.0028216534
num__EXT_SOURCE_1,0.0023690446
cat__OCCUPATION_TYPE_Accountants,0.002193431
cat__ORGANIZATION_TYPE_Other,0.0020969578
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.0020927284
num__FLOORSMAX_AVG,0.0019358064
cat__ORGANIZATION_TYPE_School,0.0018772999
cat__ORGANIZATION_TYPE_Medicine,0.0018683472
cat__OCCUPATION_TYPE_High skill tech staff,0.0018366718
cat__NAME_INCOME_TYPE_Pensioner,0.0016072176
cat__OCCUPATION_TYPE_Medicine staff,0.0015421814
cat__ORGANIZATION_TYPE_Government,0.0013567667
cat__ORGANIZATION_TYPE_Industry: type 9,0.0012884527
cat__NAME_EDUCATION_TYPE_Lower secondary,0.001264434
cat__ORGANIZATION_TYPE_Culture,0.0012569017
num__YEARS_EMPLOYED,0.0012394277
cat__OCCUPATION_TYPE_Cooking staff,0.0012255822
cat__ORGANIZATION_TYPE_Trade: type 7,0.0012200737
cat__ORGANIZATION_TYPE_XNA,0.0010862704
num__ANNUITY_CREDIT_RATIO,0.0010766161
num__GOODS_CREDIT_RATIO,0.001025834
cat__ORGANIZATION_TYPE_Industry: type 2,0.0009696341
cat__ORGANIZATION_TYPE_Kindergarten,0.000954852
cat__ORGANIZATION_TYPE_Transport: type 3,0.0009377212
cat__NAME_TYPE_SUITE_Children,0.00093008945
cat__ORGANIZATION_TYPE_Industry: type 3,0.0008909825
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.0008885451
cat__OCCUPATION_TYPE_Low-skill Laborers,0.00087267556
cat__OCCUPATION_TYPE_Managers,0.000867158
cat__ORGANIZATION_TYPE_Advertising,0.0008648932
num__REGION_POPULATION_RELATIVE,0.0008629094
cat__ORGANIZATION_TYPE_Military,0.0008277143
cat__ORGANIZATION_TYPE_Realtor,0.00080097636
num__AMT_GOODS_PRICE,0.00077963073
cat__NAME_HOUSING_TYPE_Municipal apartment,0.00076794904
cat__ORGANIZATION_TYPE_Trade: type 6,0.0007663428
cat__ORGANIZATION_TYPE_University,0.000760714
cat__ORGANIZATION_TYPE_Insurance,0.0007570134
cat__OCCUPATION_TYPE_Cleaning staff,0.0007443932
num__DAYS_LAST_PHONE_CHANGE,0.00071883673
cat__ORGANIZATION_TYPE_Services,0.00071176083
num__AGE,0.0007022912
cat__ORGANIZATION_TYPE_Trade: type 1,0.0006960016
cat__ORGANIZATION_TYPE_Postal,0.0006951127
cat__ORGANIZATION_TYPE_Industry: type 1,0.0006710528
cat__OCCUPATION_TYPE_Security staff,0.00065926905
cat__NAME_HOUSING_TYPE_Office apartment,0.0006541281
"cat__NAME_TYPE_SUITE_Spouse, partner",0.0006442053
