Feature,Importance
cat__CODE_GENDER_M,0.059876117126820144
cat__NAME_INCOME_TYPE_Working,0.05041417817779787
cat__CODE_GENDER_F,0.049942144543653554
num__EXT_SOURCE_3,0.04876896838737839
cat__FLAG_OWN_CAR_Y,0.04146485084442725
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.04035345705596041
num__REG_CITY_NOT_WORK_CITY,0.039271262342404294
cat__FLAG_OWN_CAR_N,0.03782917478675908
cat__NAME_EDUCATION_TYPE_Higher education,0.03466546264719551
num__EXT_SOURCE_2,0.034262689218831674
cat__OCCUPATION_TYPE_Laborers,0.03387785151415874
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.0285325833910626
num__REGION_RATING_CLIENT,0.028252136837022178
cat__NAME_INCOME_TYPE_Commercial associate,0.027419446282849952
num__REGION_RATING_CLIENT_W_CITY,0.02634187789515324
num__FLAG_DOCUMENT_3,0.01993207447126939
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.019136747566964336
cat__NAME_TYPE_SUITE_Unaccompanied,0.018050905204589008
num__EXT_SOURCE_1,0.01362805603007981
num__CNT_FAM_MEMBERS,0.013215211162536438
cat__ORGANIZATION_TYPE_Self-employed,0.011872654354553376
cat__NAME_TYPE_SUITE_Family,0.01175842396717482
cat__OCCUPATION_TYPE_Sales staff,0.010128399352311383
num__DAYS_LAST_PHONE_CHANGE,0.009665205026636158
num__FLOORSMAX_MODE,0.009571279884998885
num__REGION_POPULATION_RELATIVE,0.00935028963699852
num__FLOORSMAX_MEDI,0.009257901341256059
cat__NAME_HOUSING_TYPE_House / apartment,0.009215023868553085
num__AGE,0.008753096816647073
num__FLOORSMAX_AVG,0.008278278458301251
num__DAYS_BIRTH,0.008239627659452206
num__ANNUITY_CREDIT_RATIO,0.008165070646611542
num__DAYS_ID_PUBLISH,0.008096182115549551
num__DAYS_REGISTRATION,0.00796096864472465
num__ANNUITY_INCOME_RATIO,0.007839293551614758
num__DAYS_EMPLOYED,0.0077158332533200525
num__CREDIT_PER_CHILD,0.007655207961555606
num__EMPLOYMENT_AGE_RATIO,0.007616115633215218
num__AMT_ANNUITY,0.007601522061553453
num__HOUR_APPR_PROCESS_START,0.007490874527576476
num__YEARS_EMPLOYED,0.007328339737590438
num__AMT_CREDIT,0.007197325721982104
num__LOG_AMT_CREDIT,0.007099935693499257
cat__OCCUPATION_TYPE_Drivers,0.007018603687793744
num__GOODS_CREDIT_RATIO,0.006932413926904013
num__FLAG_EMP_PHONE,0.006919407682975339
num__LOG_AMT_INCOME_TOTAL,0.006891890273504108
num__AMT_GOODS_PRICE,0.006361849416737798
cat__ORGANIZATION_TYPE_XNA,0.005810683270004022
cat__NAME_INCOME_TYPE_Pensioner,0.0056788230675308225
cat__NAME_INCOME_TYPE_State servant,0.005199045766861032
cat__OCCUPATION_TYPE_Core staff,0.005097471709329943
num__TOTALAREA_MODE,0.0048023939611414315
num__LIVINGAREA_MODE,0.004470823734346861
num__LIVINGAREA_AVG,0.00444054926157599
num__LIVINGAREA_MEDI,0.004323382394172628
num__APARTMENTS_MODE,0.004268449007195108
num__BASEMENTAREA_MODE,0.004197186450911249
num__BASEMENTAREA_MEDI,0.004113008174997959
num__APARTMENTS_MEDI,0.0041011123013072704
num__APARTMENTS_AVG,0.00401905913326577
num__BASEMENTAREA_AVG,0.003949951761748994
cat__OCCUPATION_TYPE_Managers,0.0029903254541189255
cat__ORGANIZATION_TYPE_Other,0.0025165459543595504
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.0023629721329961047
cat__NAME_HOUSING_TYPE_With parents,0.002136328267266521
cat__ORGANIZATION_TYPE_Medicine,0.0016453676416834746
"cat__NAME_TYPE_SUITE_Spouse, partner",0.0015273491020512942
cat__OCCUPATION_TYPE_Security staff,0.0012860378314866474
cat__OCCUPATION_TYPE_Medicine staff,0.0012218948468060884
cat__NAME_HOUSING_TYPE_Municipal apartment,0.0012092396456397268
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.0011668134332738598
cat__OCCUPATION_TYPE_Cooking staff,0.001108724035389221
cat__ORGANIZATION_TYPE_Construction,0.0010802828111910177
cat__ORGANIZATION_TYPE_Trade: type 7,0.0010634814296584395
cat__OCCUPATION_TYPE_High skill tech staff,0.0010070624366585517
cat__NAME_EDUCATION_TYPE_Lower secondary,0.0009344928354145597
cat__OCCUPATION_TYPE_Cleaning staff,0.0007892140644113298
cat__ORGANIZATION_TYPE_Government,0.0007808782829029777
cat__OCCUPATION_TYPE_Accountants,0.000724610822315386
cat__NAME_HOUSING_TYPE_Rented apartment,0.0006813459360634383
cat__ORGANIZATION_TYPE_Transport: type 4,0.0006333956063406178
cat__ORGANIZATION_TYPE_Kindergarten,0.0006018276551862208
cat__ORGANIZATION_TYPE_School,0.0006008865376374775
cat__OCCUPATION_TYPE_Low-skill Laborers,0.0005557740472918977
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.0005099637925448293
cat__ORGANIZATION_TYPE_Security,0.0004921483617488689
cat__NAME_TYPE_SUITE_Children,0.00048261287705113196
cat__ORGANIZATION_TYPE_Industry: type 3,0.00046503514878286893
cat__ORGANIZATION_TYPE_Trade: type 3,0.0004394977604451542
cat__ORGANIZATION_TYPE_Agriculture,0.0004192995965030795
cat__ORGANIZATION_TYPE_Housing,0.0003244782399174432
cat__NAME_TYPE_SUITE_Other_B,0.0003043271542708463
cat__ORGANIZATION_TYPE_Restaurant,0.0003026475251865317
cat__ORGANIZATION_TYPE_Industry: type 11,0.0002976517942986893
cat__ORGANIZATION_TYPE_Industry: type 9,0.00027483988847785214
cat__ORGANIZATION_TYPE_Transport: type 3,0.00027084665194512705
cat__ORGANIZATION_TYPE_Postal,0.0002700944160680126
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.0002622664319683204
cat__NAME_HOUSING_TYPE_Office apartment,0.00024919078613600595
cat__ORGANIZATION_TYPE_Transport: type 2,0.00023951300780958754
