Feature,Mean Absolute SHAP
cat__CODE_GENDER_M,0.05409748536067773
cat__CODE_GENDER_F,0.04838208613282988
num__EXT_SOURCE_2,0.025042387779699114
num__EXT_SOURCE_3,0.025033239822162188
num__ANNUITY_CREDIT_RATIO,0.0130791420068263
num__EXT_SOURCE_1,0.012182463468545263
cat__FLAG_OWN_CAR_N,0.012095005531931614
num__GOODS_CREDIT_RATIO,0.008767545111140945
num__AMT_GOODS_PRICE,0.008686062357544141
cat__NAME_INCOME_TYPE_Working,0.006886038292397619
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.006190409021817309
cat__FLAG_OWN_CAR_Y,0.005767175972277948
num__FLAG_DOCUMENT_3,0.005466151392911097
num__AMT_ANNUITY,0.005416806293658276
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.005127339746290301
num__DAYS_ID_PUBLISH,0.005000659011228665
num__DAYS_BIRTH,0.004555551841359059
num__DAYS_LAST_PHONE_CHANGE,0.004285010975174028
num__ANNUITY_INCOME_RATIO,0.004198648545934765
num__REGION_POPULATION_RELATIVE,0.003973299257393289
num__YEARS_EMPLOYED,0.0038997374661107237
cat__NAME_EDUCATION_TYPE_Higher education,0.0038062108807786176
num__AMT_CREDIT,0.003748091993496803
num__AGE,0.0035351180714573048
num__HOUR_APPR_PROCESS_START,0.0028088790811672776
num__FLOORSMAX_MEDI,0.0027815403223141986
num__EMPLOYMENT_AGE_RATIO,0.002720410403086919
cat__NAME_TYPE_SUITE_Unaccompanied,0.002652812818328093
num__CNT_FAM_MEMBERS,0.002580636298945345
num__LOG_AMT_INCOME_TOTAL,0.002171800861745141
num__REGION_RATING_CLIENT_W_CITY,0.002071165273836813
num__DAYS_REGISTRATION,0.001999655864127392
num__FLOORSMAX_MODE,0.0019145017751508913
num__FLAG_EMP_PHONE,0.001776574113536217
cat__ORGANIZATION_TYPE_Self-employed,0.0017002310883220087
num__REG_CITY_NOT_WORK_CITY,0.001671907945578452
cat__OCCUPATION_TYPE_Laborers,0.0016680969400841874
num__CREDIT_PER_CHILD,0.0016464624181156435
cat__NAME_INCOME_TYPE_Commercial associate,0.0015650444277600642
num__DAYS_EMPLOYED,0.0015126331116090297
num__REGION_RATING_CLIENT,0.00145516480432934
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.0013684847717077345
cat__ORGANIZATION_TYPE_XNA,0.0011787025435715888
num__TOTALAREA_MODE,0.0011768269006966702
num__BASEMENTAREA_MODE,0.0010699069297976666
num__BASEMENTAREA_AVG,0.0010351509206713491
num__APARTMENTS_AVG,0.0009977699942991596
num__APARTMENTS_MODE,0.0009234332382641739
num__LOG_AMT_CREDIT,0.000910179137545636
cat__OCCUPATION_TYPE_Core staff,0.0008927864970635868
num__LIVINGAREA_MEDI,0.0007802368395248204
num__FLOORSMAX_AVG,0.0007796403509882513
cat__OCCUPATION_TYPE_Drivers,0.000763405736477583
cat__OCCUPATION_TYPE_Sales staff,0.0007530717607727273
num__APARTMENTS_MEDI,0.0007174263466259572
num__LIVINGAREA_AVG,0.0006682769307767153
num__LIVINGAREA_MODE,0.0006497305865694642
cat__OCCUPATION_TYPE_High skill tech staff,0.0005885359471876866
cat__NAME_INCOME_TYPE_Pensioner,0.0005556864522762486
num__BASEMENTAREA_MEDI,0.0005483412537263915
cat__NAME_HOUSING_TYPE_House / apartment,0.0005259671370635636
cat__ORGANIZATION_TYPE_School,0.0005081558934372155
cat__NAME_TYPE_SUITE_Family,0.0004791115825196015
cat__ORGANIZATION_TYPE_Other,0.0004573481392175891
cat__OCCUPATION_TYPE_Accountants,0.0003889863148894511
cat__OCCUPATION_TYPE_Medicine staff,0.0003886870457098124
cat__ORGANIZATION_TYPE_Industry: type 9,0.0003255228005847893
cat__ORGANIZATION_TYPE_Medicine,0.000303699622914661
cat__ORGANIZATION_TYPE_Industry: type 12,0.0002914343381210929
cat__ORGANIZATION_TYPE_Government,0.00027279875734931584
cat__NAME_EDUCATION_TYPE_Lower secondary,0.00025263799915194987
cat__ORGANIZATION_TYPE_Restaurant,0.00023609647878049914
cat__ORGANIZATION_TYPE_Trade: type 2,0.00022962366927368598
cat__ORGANIZATION_TYPE_Construction,0.00022907345251308285
cat__ORGANIZATION_TYPE_Trade: type 7,0.00022868112700828296
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.00019181926237687023
cat__ORGANIZATION_TYPE_Industry: type 3,0.00018755895631341273
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.00018248898745939387
cat__OCCUPATION_TYPE_Managers,0.00017961437044956277
cat__ORGANIZATION_TYPE_Military,0.00017908468975638968
cat__OCCUPATION_TYPE_Cleaning staff,0.00017574910034565293
cat__ORGANIZATION_TYPE_Kindergarten,0.00017475436813896568
cat__ORGANIZATION_TYPE_Transport: type 3,0.00016859417864948048
cat__NAME_HOUSING_TYPE_Office apartment,0.00014361244747159105
cat__NAME_TYPE_SUITE_Other_B,0.0001318088556420991
cat__NAME_INCOME_TYPE_State servant,0.00013155509587831318
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.00013144784272077972
cat__NAME_HOUSING_TYPE_Municipal apartment,0.0001229914473344106
