Feature,Mean Absolute SHAP
cat__CODE_GENDER_M,0.05409748536067773
cat__CODE_GENDER_F,0.04838208613282988
num__EXT_SOURCE_2,0.025042387779699114
num__EXT_SOURCE_3,0.025033239822162188
num__ANNUITY_CREDIT_RATIO,0.0130791420068263
num__EXT_SOURCE_1,0.012182463468545263
cat__FLAG_OWN_CAR_N,0.012095005531931614
num__GOODS_CREDIT_RATIO,0.008767545111140945
num__AMT_GOODS_PRICE,0.008686062357544141
cat__NAME_INCOME_TYPE_Working,0.006886038292397619
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.006190409021817309
cat__FLAG_OWN_CAR_Y,0.005767175972277948
num__FLAG_DOCUMENT_3,0.005466151392911097
num__AMT_ANNUITY,0.005416806293658276
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.005127339746290301
num__DAYS_ID_PUBLISH,0.005000659011228665
num__DAYS_BIRTH,0.004555551841359059
num__DAYS_LAST_PHONE_CHANGE,0.004285010975174028
num__ANNUITY_INCOME_RATIO,0.004198648545934765
num__REGION_POPULATION_RELATIVE,0.003973299257393289
