Threshold,Precision,Recall,F1,MCC,FPR,FNR,TN,FP,FN,TP
0.05,0.0814,0.9987,0.1505,0.0247,0.9899,0.0013,341,33582,4,2975
0.06,0.0819,0.9987,0.1513,0.0334,0.9837,0.0013,552,33371,4,2975
0.07,0.0824,0.9977,0.1522,0.0403,0.9757,0.0023,826,33097,7,2972
0.08,0.0831,0.9966,0.1535,0.0484,0.9652,0.0034,1179,32744,10,2969
0.09,0.0841,0.9963,0.1551,0.0577,0.9531,0.0037,1590,32333,11,2968
0.1,0.0851,0.9943,0.1568,0.0654,0.9388,0.0057,2077,31846,17,2962
0.11,0.086,0.9916,0.1582,0.0709,0.9257,0.0084,2522,31401,25,2954
0.12,0.0872,0.9893,0.1602,0.0781,0.9099,0.0107,3057,30866,32,2947
0.13,0.0885,0.9869,0.1624,0.0856,0.8928,0.0131,3636,30287,39,2940
0.14,0.0898,0.9849,0.1646,0.0926,0.8766,0.0151,4187,29736,45,2934
0.15,0.0913,0.9819,0.167,0.0995,0.8583,0.0181,4807,29116,54,2925
0.16,0.0926,0.9768,0.1692,0.1044,0.8406,0.0232,5409,28514,69,2910
0.17,0.0941,0.9715,0.1715,0.1097,0.8216,0.0285,6053,27870,85,2894
0.18,0.0958,0.9668,0.1743,0.1159,0.8015,0.0332,6735,27188,99,2880
0.19,0.0975,0.9621,0.1771,0.1218,0.7821,0.0379,7393,26530,113,2866
0.2,0.0994,0.9574,0.1801,0.1281,0.7618,0.0426,8079,25844,127,2852
0.21,0.1013,0.952,0.1832,0.134,0.7415,0.048,8769,25154,143,2836
0.22,0.1032,0.9449,0.186,0.1387,0.7214,0.0551,9451,24472,164,2815
0.23,0.1049,0.9369,0.1887,0.1427,0.7019,0.0631,10111,23812,188,2791
0.24,0.1068,0.9298,0.1916,0.1472,0.6829,0.0702,10758,23165,209,2770
0.25,0.109,0.9231,0.1949,0.1525,0.6629,0.0769,11436,22487,229,2750
0.26,0.1112,0.9164,0.1983,0.1577,0.6432,0.0836,12103,21820,249,2730
0.27,0.1131,0.9067,0.2011,0.1609,0.6245,0.0933,12738,21185,278,2701
0.28,0.1152,0.8983,0.2042,0.1649,0.606,0.1017,13367,20556,303,2676
0.29,0.1175,0.8899,0.2076,0.1693,0.587,0.1101,14011,19912,328,2651
