Feature,Importance
cat__NAME_INCOME_TYPE_Working,0.11365185
num__REG_CITY_NOT_WORK_CITY,0.06949117
cat__FLAG_OWN_CAR_Y,0.06441223
cat__OCCUPATION_TYPE_Laborers,0.06275603
cat__CODE_GENDER_F,0.0567069
cat__NAME_EDUCATION_TYPE_Higher education,0.0560204
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.051394805
cat__NAME_TYPE_SUITE_Unaccompanied,0.04278285
num__FLAG_DOCUMENT_3,0.041299336
cat__CODE_GENDER_M,0.03722104
cat__FLAG_OWN_CAR_N,0.03654184
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.034541152
cat__OCCUPATION_TYPE_Sales staff,0.031974208
num__REGION_RATING_CLIENT,0.0269503
num__CNT_FAM_MEMBERS,0.024368266
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.023244072
num__EXT_SOURCE_3,0.019666623
num__FLOORSMAX_MODE,0.017877366
num__REGION_RATING_CLIENT_W_CITY,0.01771456
cat__ORGANIZATION_TYPE_Self-employed,0.016088724
cat__NAME_HOUSING_TYPE_House / apartment,0.015358688
cat__OCCUPATION_TYPE_Core staff,0.0152060045
num__EXT_SOURCE_2,0.011855526
cat__OCCUPATION_TYPE_Drivers,0.009166197
cat__NAME_INCOME_TYPE_Commercial associate,0.006335267
cat__NAME_INCOME_TYPE_State servant,0.005924449
num__HOUR_APPR_PROCESS_START,0.005722146
cat__NAME_TYPE_SUITE_Family,0.0054953485
num__EXT_SOURCE_1,0.004406656
num__FLOORSMAX_MEDI,0.0033131444
cat__ORGANIZATION_TYPE_Construction,0.003265078
num__YEARS_EMPLOYED,0.0024500033
cat__OCCUPATION_TYPE_Accountants,0.0023681794
cat__OCCUPATION_TYPE_High skill tech staff,0.002349386
cat__ORGANIZATION_TYPE_Other,0.0023451622
cat__ORGANIZATION_TYPE_Medicine,0.0023215301
num__FLOORSMAX_AVG,0.002121495
cat__OCCUPATION_TYPE_Cooking staff,0.0021106713
num__DAYS_LAST_PHONE_CHANGE,0.0021003522
cat__ORGANIZATION_TYPE_XNA,0.001959707
num__REGION_POPULATION_RELATIVE,0.0019163955
num__ANNUITY_CREDIT_RATIO,0.0017826145
cat__OCCUPATION_TYPE_Medicine staff,0.001751762
cat__NAME_INCOME_TYPE_Pensioner,0.0015487013
num__GOODS_CREDIT_RATIO,0.0015196388
num__LIVINGAREA_MEDI,0.0014970462
cat__ORGANIZATION_TYPE_Industry: type 9,0.0014829612
cat__ORGANIZATION_TYPE_Military,0.0014361114
cat__ORGANIZATION_TYPE_School,0.0014192413
num__FLAG_EMP_PHONE,0.0013973586
cat__ORGANIZATION_TYPE_Transport: type 3,0.0010492846
num__AMT_GOODS_PRICE,0.0010451598
cat__ORGANIZATION_TYPE_Trade: type 6,0.0009208009
